Nation,WTO Status,Per Capita GDP ($),Fitch Rating,Fitch Outlook
Armenia,Member,3615,BB-,Stable
Australia,Member,49755,AAA,Stable
Austria,Member,44758,AAA,Stable
Azerbaijan,Observer,3879,BBB-,Stable
Bahrain,Member,22579,BBB,Stable
Belgium,Member,41271,AA,Stable
Brazil,Member,8650,BBB,Stable
Bulgaria,Member,7469,BBB-,Stable
Canada,Member,42349,AAA,Stable
Cape Verde,Member,2998,B+,Stable
Chile,Member,13793,A+,Stable
China,Member,8123,A+,Stable
Colombia,Member,5806,BBB-,Stable
CoStable Rica,Member,11825,BB+,Stable
Croatia,Member,12149,BBB-,Negative
Cyprus,Member,23541,B,Negative
Czech Republic,Member,18484,A+,Stable
Denmark,Member,53579,AAA,Stable
Ecuador,Member,6019,B-,Positive
Egypt,Member,3478,B,Negative
El Salvador,Member,4224,BB,Negative
Estonia,Member,17737,A+,Stable
France,Member,36857,AAA,Negative
Georgia,Member,3866,BB-,Stable
Germany,Member,42161,AAA,Stable
Hungary,Member,12820,BB+,Stable
Iceland,Member,60530,BBB,Stable
Ireland,Member,64175,BBB+,Stable
Israel,Member,37181,A,Stable
Italy,Member,30669,A-,Negative
Japan,Member,38972,A+,Negative
KazakhStablen,Observer,7715,BBB+,Stable
Kenya,Member,1455,B+,Stable
Latvia,Member,14071,BBB,Positive
Lebanon,Observer,8257,B,Stable
Lithuania,Member,14913,BBB,Stable
Malaysia,Member,9508,A-,Stable
Mexico,Member,8209,BBB,Stable
Peru,Member,6049,BBB,Stable
Philippines,Member,2951,BB+,Stable
Poland,Member,12414,A-,Positive
Portugal,Member,19872,BB+,Negative
South Korea,Member,27539,AA-,Stable
Romania,Member,9523,BBB-,Stable
Russia,Member,8748,BBB,Stable
Rwanda,Member,703,B,Stable
Serbia,Observer,5426,BB-,Negative
Singapore,Member,52962,AAA,Stable
Slovakia,Member,16530,A+,Stable
Slovenia,Member,21650,A-,Negative
South Africa,Member,5275,BBB,Stable
Spain,Member,26617,A-,Stable
Sweden,Member,51845,AAA,Stable
Switzerland,Member,79888,AAA,Stable
Thailand,Member,5911,BBB,Stable
Turkey,Member,10863,BBB-,Stable
United Kingdom,Member,40412,AAA,Negative
Uruguay,Member,15221,BB+,Positive
United Stabletes,Member,57638,AAA,Stable
Zambia,Member,1270,B+,Negative
